Country Code,Country Name,Region Name,Income Group,Year,FISI,Availability_Index,Access_Index,Utilization_Index,Stability_Index,Risk Category
ABW,Aruba,Latin America & Caribbean,High income,2000,0.5199902714076874,0.8590301124125206,0.38354842354146595,0.17651563890890243,0.23224235695935985,medium risk
ABW,Aruba,Latin America & Caribbean,High income,2001,0.5173455625710225,0.8546066356015526,0.38709464446152986,0.1686605095264782,0.22716959041980503,medium risk
ABW,Aruba,Latin America & Caribbean,High income,2002,0.5207039943457632,0.8574497381875484,0.39704508634353386,0.1670561662955778,0.2236809881556463,medium risk
ABW,Aruba,Latin America & Caribbean,High income,2003,0.5164715594360707,0.8543090277020849,0.38873617375740865,0.1646033334292457,0.22291064142418143,medium risk
ABW,Aruba,Latin America & Caribbean,High income,2004,0.5145461354260726,0.8527657997160523,0.3851596191805964,0.1519079537753955,0.23403824479442356,medium risk
ABW,Aruba,Latin America & Caribbean,High income,2005,0.519837672920773,0.8563803755138756,0.40308795280038934,0.15460043560047437,0.22112714356689836,medium risk
ABW,Aruba,Latin America & Caribbean,High income,2006,0.5138563465445963,0.8584292647894946,0.376983066964819,0.1564824541517501,0.2261156827772684,medium risk
ABW,Aruba,Latin America & Caribbean,High income,2007,0.509216974154683,0.8535614019054512,0.3728129152856024,0.1331783179898377,0.23981194072230835,medium risk
ABW,Aruba,Latin America & Caribbean,High income,2008,0.5057686119639577,0.852529940538562,0.36655935285250835,0.13006212200106648,0.23519674395080303,medium risk
ABW,Aruba,Latin America & Caribbean,High income,2009,0.5083421203611347,0.8447894834226541,0.36519939032429755,0.16205160607784655,0.2437251265540452,medium risk
ABW,Aruba,Latin America & Caribbean,High income,2010,0.4987546663664803,0.8439233947211641,0.3512051575729693,0.12747986780715806,0.24467854023366817,low risk
ABW,Aruba,Latin America & Caribbean,High income,2011,0.4963036850921631,0.8426231104671169,0.34954224783103505,0.1260519562822515,0.2365598207577871,low risk
ABW,Aruba,Latin America & Caribbean,High income,2012,0.49329660870524794,0.8391078117950381,0.34529336613421896,0.12399911941711694,0.236437374895996,low risk
ABW,Aruba,Latin America & Caribbean,High income,2013,0.48510451816635347,0.8373575576214457,0.336084932104422,0.09480780884135494,0.23409896106830252,low risk
ABW,Aruba,Latin America & Caribbean,High income,2014,0.48576480500922525,0.8241231493309633,0.34637595846602853,0.10958829547353874,0.23843008944000396,low risk
ABW,Aruba,Latin America & Caribbean,High income,2015,0.4746084208520086,0.7978792823752445,0.33854882536084857,0.12350015257046577,0.2357802493872424,low risk
ABW,Aruba,Latin America & Caribbean,High income,2016,0.4822415719349451,0.8236095074523733,0.34213015136119734,0.10144619047131011,0.23294529983293358,low risk
ABW,Aruba,Latin America & Caribbean,High income,2017,0.4818522680503214,0.8231763033289105,0.3358718438733579,0.11686112846826596,0.22860682857673315,low risk
ABW,Aruba,Latin America & Caribbean,High income,2018,0.4814440241596441,0.8274450150470488,0.3403742707718211,0.09610586365862588,0.22625238240322917,low risk
ABW,Aruba,Latin America & Caribbean,High income,2019,0.4787821773733248,0.8152019000909911,0.34254643702619103,0.10619776663140924,0.226718808229064,low risk
ABW,Aruba,Latin America & Caribbean,High income,2020,0.48379859083297083,0.8206949034238844,0.3566377720431501,0.09968549120285845,0.2238431611336216,low risk
AFG,Afghanistan,South Asia,Low income,2000,0.6932352715444545,0.8920122496779576,0.6103085995533648,0.5842369857289841,0.43801495965276255,high risk
AFG,Afghanistan,South Asia,Low income,2001,0.7095056959628766,0.8996473527137152,0.6300883603064634,0.6357732627092405,0.43502838252710296,high risk
AFG,Afghanistan,South Asia,Low income,2002,0.6997919232744768,0.8767850353077996,0.6180358919621091,0.6306152392404607,0.4604990378443678,high risk
AFG,Afghanistan,South Asia,Low income,2003,0.6948289017610172,0.8752925011967928,0.6106634052735836,0.602089879922354,0.4746626514124795,high risk
AFG,Afghanistan,South Asia,Low income,2004,0.6863396579426113,0.8853095328980651,0.5968972049078157,0.5704751193728411,0.45050276936742906,high risk
AFG,Afghanistan,South Asia,Low income,2005,0.6823663950780665,0.8798103533577692,0.5913569564286457,0.5815430684563537,0.43869137691941323,high risk
AFG,Afghanistan,South Asia,Low income,2006,0.6840312082522471,0.8879348941746144,0.5862689255947381,0.5715536384699664,0.44829018088989975,high risk
AFG,Afghanistan,South Asia,Low income,2007,0.6657694042517717,0.8827219187999436,0.5601908846571695,0.5268564499030847,0.4372993589945381,high risk
AFG,Afghanistan,South Asia,Low income,2008,0.6541666791533727,0.889964604022532,0.5431481616933932,0.45259672247797533,0.44897920443097106,high risk
AFG,Afghanistan,South Asia,Low income,2009,0.6429200977711098,0.8795850763520541,0.5266020314488388,0.4410619477318031,0.446307770905774,high risk
